urun_id,lag_1w_indirim,lag_2w_indirim,lag_3w_indirim,rolling_std_indirim,max_indirim_train,indirimli_gun_orani,kampanyali_gun_orani,gozlem_sayisi,kategori_x,cluster,cluster_adi,kategori_enc,tahmini_indirim,isim,marka,kategori_y,kategori
10508360,44.5,,60.0,0.0,75.0,1.0,1.0,9,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,51.03882173011023,Hask Bukleli Saçlar İçin Nemlendirici Saç Kremi 355 ml,Hask,Saç Bakım,Saç Bakım
10509424,23.8,60.0,23.8,18.1,75.0,1.0,1.0,13,Kişisel Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,8,26.528421193430745,Eklips Silikon Yüz Yıkama Fırçası,Eklips,Kişisel Bakım,Kişisel Bakım
10518499,0.0,0.0,,0.0,60.2,0.09090909090909091,1.0,11,Süpermarket,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,13,0.07918783993783993,Haribo Starmix Aromalı Karışık Yumuşak Şeker 80 gr,Haribo,Süpermarket,Süpermarket
10518500,0.0,0.0,60.2,0.0,60.2,0.07692307692307693,1.0,13,Süpermarket,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,13,14.220750337995751,Haribo Chamallows Rubino Çilek Aromalı Marshmallow 70 gr,Haribo,Süpermarket,Süpermarket
10518501,0.0,0.0,0.0,0.0,60.0,0.07142857142857142,1.0,14,Süpermarket,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,13,0.11157245532245533,Haribo Mega Roulette Meyve Aromalı Karışık Yumuşak Şeker 45 gr,Haribo,Süpermarket,Süpermarket
10518517,45.56666666666666,48.7,60.0,4.700000000000003,60.0,1.0,1.0,12,Hijyen & Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,7,53.16648422441245,Oral-B Pro-Science Advanced Hassasiyet ve Diş Eti Rahatlama Orijinal Diş Macunu 75 ml,Oral-B,Hijyen & Bakım,Hijyen & Bakım
10518680,40.0,40.0,60.0,0.0,60.0,1.0,1.0,10,Hijyen & Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,7,53.17717826594091,Dentasave Aşındırmayan Beyazlık Diş Macunu 75 ml,Dentasave,Hijyen & Bakım,Hijyen & Bakım
10518682,40.0,40.0,60.0,0.0,60.0,1.0,1.0,11,Duş & Banyo,0,Sürekli İndirimli Ana Katalog Ürünleri,2,53.077877666440735,Dalan Botanica Frezya Banyo & Duş Sabunu 150 gr x 4,Dalan,Duş & Banyo,Duş & Banyo
10518683,40.0,40.0,,0.0,40.0,1.0,1.0,11,Duş & Banyo,1,Stabil ve Düşük Kampanyalı Ürünler,2,29.51429801769257,Dalan Botanica Lotus Banyo & Duş Sabunu 150 gr x 4,Dalan,Duş & Banyo,Duş & Banyo
10518684,40.266666666666666,,50.25,0.2309401076758495,60.1,1.0,1.0,11,Duş & Banyo,0,Sürekli İndirimli Ana Katalog Ürünleri,2,41.29073978117226,Dalan Botanica Şakayık Sıvı Sabun 500 ml,Dalan,Duş & Banyo,Duş & Banyo
10518685,40.266666666666666,,40.4,0.2309401076758495,40.4,1.0,1.0,9,Duş & Banyo,1,Stabil ve Düşük Kampanyalı Ürünler,2,40.75305144619618,Dalan Botanica Frezya Sıvı Sabun 500 ml,Dalan,Duş & Banyo,Duş & Banyo
10518687,40.0,40.0,,0.0,60.0,1.0,1.0,12,Duş & Banyo,0,Sürekli İndirimli Ana Katalog Ürünleri,2,29.521726352942714,Dalan Botanica Şakayık Banyo & Duş Sabunu 150 gr x 4,Dalan,Duş & Banyo,Duş & Banyo
10521186,49.2,49.2,,0.0,70.0,1.0,1.0,7,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,34.38560946407601,Clear Scalpceuticals Saç Bakım Şampuanı Saç Dökülmesine Karşı 300 ml,Clear,Saç Bakım,Saç Bakım
10521189,49.2,,54.6,0.0,60.0,1.0,1.0,11,Erkek Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,4,49.68014063305195,Clear Men Scalp Pro Güçlendirici Şampuan Saç Dökülmesine ve Kepeğe Karşı Etkili 300 ml,Clear,Erkek Bakım,Erkek Bakım
10521737,53.6,,53.6,0.0,53.6,1.0,1.0,8,Moda & Aksesuar,1,Stabil ve Düşük Kampanyalı Ürünler,10,52.50317857426599,Eklips Fermuarlı Kartlık Pastel,Eklips,Moda & Aksesuar,Moda & Aksesuar
10523131,30.4,30.4,45.2,4.351167857633658e-15,70.1,1.0,1.0,11,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,30.54056814481025,Mov Eyeliner Mavi,Mov,Makyaj,Makyaj
10523132,30.4,30.4,45.2,4.351167857633658e-15,70.1,1.0,1.0,11,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,30.54056814481025,Mov Eyeliner Mor,Mov,Makyaj,Makyaj
10523133,30.4,30.4,45.2,0.0,70.1,1.0,1.0,11,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,30.54056814481025,Mov Eyeliner Yeşil,Mov,Makyaj,Makyaj
10523134,30.4,30.4,45.2,4.351167857633658e-15,70.1,1.0,1.0,13,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,30.656708621834,Mov Eyeliner Turkuaz,Mov,Makyaj,Makyaj
10523135,30.4,30.4,45.2,4.351167857633658e-15,70.1,1.0,1.0,12,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,30.656708621834,Mov Eyeliner Turuncu,Mov,Makyaj,Makyaj
10523136,30.4,30.4,45.2,0.0,70.1,1.0,1.0,12,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,30.656708621834,Mov Eyeliner Pembe,Mov,Makyaj,Makyaj
10523137,30.4,,45.2,0.0,70.1,1.0,1.0,12,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,30.812785886967795,Mov Eyeliner Sarı,Mov,Makyaj,Makyaj
10523138,30.4,30.4,60.0,4.351167857633658e-15,70.1,1.0,1.0,12,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,30.633984124479504,Mov Eyeliner Beyaz,Mov,Makyaj,Makyaj
10523778,57.9,57.9,55.0,0.0,70.0,1.0,1.0,13,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,54.67607880505532,Show by Pastel Show Your Magic Gloss Dudak Parlatıcısı,Show,Makyaj,Makyaj
10524232,56.0,,58.0,0.0,75.1,1.0,1.0,12,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,46.263521994683266,Beaulis Light It Likit Aydınlatıcı 905 Sunshimmer,Beaulis,Makyaj,Makyaj
10524233,53.8,,53.8,0.0,75.1,1.0,1.0,9,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,42.266930415332325,Beaulis Light It Likit Aydınlatıcı 633 Pink Brigh,Beaulis,Makyaj,Makyaj
10524234,51.46666666666667,60.0,56.1,4.390899680020029,70.1,1.0,1.0,12,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,52.313891986559284,Beaulis Light It Likit Aydınlatıcı 913 Moon Shine,Beaulis,Makyaj,Makyaj
10524237,64.3,64.3,64.3,0.0,75.1,1.0,1.0,12,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,60.923230351432174,Beaulis Charm It Likit Allık 307 Peach Glow,Beaulis,Makyaj,Makyaj
10524238,69.63333333333333,72.3,72.3,4.0,75.1,1.0,1.0,13,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,68.55715031098173,Beaulis Charm It Likit Allık 652 Peony Blush,Beaulis,Makyaj,Makyaj
10524239,59.15,60.0,57.0,5.1733290377989025,75.1,1.0,1.0,12,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,46.185223772139544,Beaulis Charm It Likit Allık 621 Pink Diamond,Beaulis,Makyaj,Makyaj
10524240,,,60.0,0.0,70.1,1.0,1.0,8,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,8.316727690680825,Beaulis Mold It Likit Bronzer 152 Tan Bronze,Beaulis,Makyaj,Makyaj
10524242,20.066666666666666,60.0,30.0,34.69884724310017,75.1,0.7857142857142857,1.0,14,Makyaj,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,9,20.856538315330475,Beaulis Drop It pH Değişimli Dudak Parlatıcısı & Allık,Beaulis,Makyaj,Makyaj
10524276,50.0,50.0,55.0,0.0,70.0,1.0,1.0,12,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,50.156779582113685,Flormar Kiss Me More Ekstra Kalıcı Likit Mat Ruj 004 Peach,Flormar,Makyaj,Makyaj
10524277,50.05,50.0,55.0,0.0577350269189634,70.0,1.0,1.0,12,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,50.156779582113685,Flormar Kiss Me More Ekstra Kalıcı Likit Mat Ruj 006 Doll,Flormar,Makyaj,Makyaj
10524278,50.0,50.0,55.0,0.0,70.0,1.0,1.0,11,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,50.156779582113685,Flormar Kiss Me More Ekstra Kalıcı Likit Mat Ruj 007 Rosa,Flormar,Makyaj,Makyaj
10524279,50.03333333333333,50.0,55.0,0.05000000000000071,70.0,1.0,1.0,13,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,50.156779582113685,Flormar Kiss Me More Ekstra Kalıcı Likit Mat Ruj 009 Intense,Flormar,Makyaj,Makyaj
10524287,0.0,0.0,30.15,0.0,70.4,0.25,1.0,12,Makyaj,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,9,0.49714488393550893,Pastel Oje 371,Pastel,Makyaj,Makyaj
10524292,0.0,,30.15,0.0,70.4,0.25,1.0,12,Makyaj,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,9,0.49714488393550893,Pastel Oje 376,Pastel,Makyaj,Makyaj
10524295,0.0,0.0,30.15,0.0,70.4,0.3,1.0,10,Makyaj,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,9,1.5880143837595115,Pastel Oje 374,Pastel,Makyaj,Makyaj
10524296,50.0,50.0,55.0,0.0,70.0,1.0,1.0,13,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,50.156779582113685,Flormar Kiss Me More Ekstra Kalıcı Likit Mat Ruj 011 Candy,Flormar,Makyaj,Makyaj
10524297,50.03333333333333,50.0,60.0,0.05000000000000071,70.0,1.0,1.0,12,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,52.59070286108299,Flormar Kiss Me More Ekstra Kalıcı Likit Mat Ruj 017 Nudist,Flormar,Makyaj,Makyaj
10524298,50.03333333333333,50.0,55.0,0.05000000000000071,70.0,1.0,1.0,13,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,50.156779582113685,Flormar Kiss Me More Ekstra Kalıcı Likit Mat Ruj 018 Perfection,Flormar,Makyaj,Makyaj
10524299,50.0,50.0,55.0,0.0,70.0,1.0,1.0,9,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,50.156779582113685,Flormar Kiss Me More Ekstra Kalıcı Likit Mat Ruj 019 Caramel,Flormar,Makyaj,Makyaj
10524300,50.03333333333333,50.0,55.0,0.05000000000000071,70.0,1.0,1.0,13,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,50.156779582113685,Flormar Kiss Me More Ekstra Kalıcı Likit Mat Ruj 020 Assertive,Flormar,Makyaj,Makyaj
