urun_id,isim,marka,kategori,tahmini_indirim,gercek_indirim,hata,dogru_mu
10207766,Cire Aseptine Soft Çilek Prebiyotikli Krem 75 ml,Cire,Cilt Bakım,41.284749142644124,40.2,1.084749142644121,True
10207767,Cire Aseptine Soft Hindistan Cevizi Prebiyotikli Krem 75 ml,Cire,Cilt Bakım,41.284749142644124,40.2,1.084749142644121,True
10207768,Cire Aseptine Klasik Krem Vazelin 75 ml,Cire,Cilt Bakım,40.78632905283469,40.3,0.48632905283469086,True
10207769,Cire Aseptine Aloe Vera Özlü Krem Vazelin 75 ml,Cire,Cilt Bakım,40.78632905283469,40.3,0.48632905283469086,True
10207770,Cire Aseptine Zeytinyağlı Krem Vazelin 75 ml,Cire,Cilt Bakım,40.51294969953799,40.3,0.2129496995379938,True
10207771,Cire Aseptine Avokado Özlü Krem Vazelin 75 ml,Cire,Cilt Bakım,41.29073978117226,40.3,0.990739781172266,True
10207781,Mixup! Chakra Bliss Lavanta & Tatlı Vanilya Vücut Spreyi 200 ml,Mixup!,Parfüm & Deodorant,36.06503461527992,55.9,19.83496538472008,False
10207782,Mixup! Chakra Sunrise Mango & Portakal Çiçeği Vücut Spreyi 200 ml,Mixup!,Parfüm & Deodorant,53.80604990555948,55.9,2.0939500944405154,True
10207791,Bee Beauty Arındırıcı Temizleme Jeli 400 ml,Bee Beauty,Cilt Bakım,49.366813397708086,50.0,0.6331866022919144,True
10207792,Loreal Paris Revitalift C Vitamini Gözenek Görünümü Karşıtı Peeling Etkili Tonik 180 ml,Loreal,Cilt Bakım,42.105872696645754,40.1,2.0058726966457527,True
10207793,Garnier Vitamin C Parlaklık Etkili Tonik 120 ml,Garnier,Cilt Bakım,41.946221471921675,40.333333333333336,1.612888138588339,True
10207794,Garnier Saf & Temiz Salisilik Sivilce İzi Karşıtı Gözenek Sıkılaştırıcı Peeling Tonik 120 ml,Garnier,Cilt Bakım,42.967501037065816,40.2,2.767501037065813,True
10207795,Garnier Hyaluron Bariyer Onarıcı Tonik 120 ml,Garnier,Cilt Bakım,42.33470626230831,40.333333333333336,2.0013729289749733,True
10207796,The Purest Solutions Aydınlatıcı PHA Tonik 200 ml,The Purest Solutions,Cilt Bakım,34.29645603836092,50.70000000000001,16.403543961639087,False
10207797,The Purest Solutions Bariyer Onarıcı Cica Serum 30 ml,The Purest Solutions,Cilt Bakım,53.068403431807994,55.5,2.431596568192006,True
10207798,John Frieda Blonde Saç Bakım Şampuanı 250 ml,John,Saç Bakım,41.166087159735206,40.199999999999996,0.9660871597352099,True
